Trans. Date,Post Date,Description,Amount,Category
03/11/2022,03/11/2022,"TSAOCAA TEA BOSTON MA",21.34,"Restaurants"
03/12/2022,03/12/2022,"BJS FUEL #9209 HUDSON MA",36.19,"Gasoline"
03/13/2022,03/13/2022,"WALMART SC 02370 BRUNSWICK NY",8.97,"Merchandise"
03/14/2022,03/14/2022,"PAYPAL *ACLOUDGURU 402-935-7733 CA",27.80,"Education"
03/19/2022,03/19/2022,"RENSSELAER CAMPUS STR146 TROY NYSAMSUNG PAY ENDING IN 9574",6.43,"Merchandise"
03/22/2022,03/22/2022,"PAYPAL *SPOTIFYUSAI 888-221-1161 CA",4.99,"Services"
03/30/2022,03/30/2022,"WALMART SC 02370 BRUNSWICK NY",22.97,"Merchandise"
04/03/2022,04/03/2022,"PAYPAL *CHEGG TXTBK ORD 402-935-7733 CA",15.88,"Merchandise"
04/08/2022,04/08/2022,"BJS WHOLESALE #0007 ALBANY NY",35.56,"Warehouse Clubs"
04/08/2022,04/08/2022,"INTERNET PAYMENT - THANK YOU",-136.56,"Payments and Credits"
04/14/2022,04/14/2022,"BJS WHOLESALE #0007 ALBANY NY",10.58,"Warehouse Clubs"
04/14/2022,04/14/2022,"BJS WHOLESALE #0007 ALBANY NY",95.90,"Warehouse Clubs"
04/22/2022,04/22/2022,"PAYPAL *SPOTIFYUSAI 402-935-7733 CA",4.99,"Services"
04/24/2022,04/24/2022,"PP*APPLE.COM/BILL 402-935-7733 CA",9.99,"Merchandise"
04/27/2022,04/27/2022,"SQ *KUMA ANI ALBANY NY0001152921511331313950",15.07,"Restaurants"
04/27/2022,04/27/2022,"WHOLEFDS ABN #10492 ALBANY NY",9.48,"Supermarkets"
04/30/2022,04/30/2022,"FATHERS MARKET TROY NY",11.22,"Restaurants"
05/01/2022,05/01/2022,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-5.93,"Awards and Rebate Credits"
05/01/2022,05/01/2022,"INTERNET PAYMENT - THANK YOU",-175.64,"Payments and Credits"
05/02/2022,05/02/2022,"HARNEY TEAS 800-832-8463 NY",11.20,"Merchandise"
05/03/2022,05/03/2022,"PAYPAL *CHEGG TXTBK ORD 402-935-7733 CA",15.88,"Merchandise"
05/03/2022,05/05/2022,"HARNEY TEAS MILLERTON NY",-11.20,"Payments and Credits"
05/06/2022,05/06/2022,"PANERA BREAD #203162 K TROY NYSAMSUNG PAY ENDING IN 957400656R",1.13,"Restaurants"
05/09/2022,05/09/2022,"ROCHE BROTHERS112 ACTON MA",4.99,"Supermarkets"
05/11/2022,05/11/2022,"SORRENTO'S PIZZERIAS ACTON MA",12.01,"Restaurants"
05/14/2022,05/14/2022,"PAYPAL *DOMINO'S 3189 402-935-2244 CA",17.10,"Restaurants"
05/15/2022,05/15/2022,"SHAWS OSCO 2584 STOW MA",11.97,"Supermarkets"
05/21/2022,05/21/2022,"CAFE POLONIA BOSTON MA",90.25,"Restaurants"
05/21/2022,05/21/2022,"DUNKIN #302993 Q35 BOSTON MA",2.12,"Restaurants"
05/21/2022,05/21/2022,"TST* AMELIAS TAQUERIA BOSTON MA00064990007138818317AA",3.21,"Restaurants"
05/22/2022,05/22/2022,"PAYPAL *SPOTIFYUSAI 888-221-1161 CA",4.99,"Services"
05/22/2022,05/22/2022,"SHAWS OSCO 2584 STOW MA",7.68,"Supermarkets"
05/24/2022,05/24/2022,"PP*APPLE.COM/BILL 402-935-7733 CA",9.99,"Merchandise"
05/25/2022,05/25/2022,"ROCHE BROTHERS112 ACTON MASAMSUNG PAY ENDING IN 9574",2.00,"Supermarkets"
05/27/2022,05/27/2022,"TSAOCAA TEA BOSTON MA",28.52,"Restaurants"
05/28/2022,05/28/2022,"INTERNET PAYMENT - THANK YOU",-194.54,"Payments and Credits"
05/28/2022,05/28/2022,"SHAWS OSCO 2584 STOW MA",34.74,"Supermarkets"
05/29/2022,05/29/2022,"NHSTATEPARKS CONCORD NH02941R",16.00,"Government Services"
05/30/2022,05/30/2022,"BARCELONA WINE BAR -SO BOSTON MA",18.85,"Restaurants"
05/30/2022,05/30/2022,"PARKING METERS PILOT PRO BOSTON MA",4.25,"Services"
05/30/2022,05/30/2022,"TSAOCAA TEA BOSTON MASAMSUNG PAY ENDING IN 9574",6.74,"Restaurants"
06/02/2022,06/02/2022,"PP*GOOGLE ROVIO 402-935-7733 CA",1.05,"Merchandise"
06/03/2022,06/03/2022,"BENJARONG RESTAURANT ACTON MA",49.59,"Restaurants"
06/04/2022,06/04/2022,"CALIFORNIA BURRITOS LLC NASHUA NHSAMSUNG PAY ENDING IN 9574",9.32,"Restaurants"
06/04/2022,06/04/2022,"FOSSIL #7475 MERRIMACK NHSAMSUNG PAY ENDING IN 9574",19.00,"Merchandise"
06/04/2022,06/04/2022,"J CREW FACTORY #114 MERRIMACK NHSAMSUNG PAY ENDING IN 9574",14.69,"Merchandise"
06/04/2022,06/04/2022,"J CREW FACTORY #114 MERRIMACK NHSAMSUNG PAY ENDING IN 9574",21.64,"Merchandise"
06/04/2022,06/04/2022,"LINDT CHOCOLATE #447 MERRIMACK NHSAMSUNG PAY ENDING IN 9574",5.44,"Merchandise"
06/06/2022,06/06/2022,"STOP & SHOP 0460 ACTON MA00610R",3.07,"Supermarkets"
06/09/2022,06/09/2022,"STOP & SHOP 0460 ACTON MA00954R",6.14,"Supermarkets"
06/10/2022,06/10/2022,"7-ELEVEN 37344 BOSTON MA",9.07,"Gasoline"
06/10/2022,06/10/2022,"MBTA ALEWIFE CAMBRIDGE MA",2.40,"Travel/ Entertainment"
06/11/2022,06/11/2022,"CUMBERLAND FARMS 3508 WESTFORD MA01151R",7.57,"Gasoline"
06/11/2022,06/11/2022,"CVS/PHARMACY #00706 ACTON MA",1.52,"Merchandise"
06/11/2022,06/11/2022,"CVS/PHARMACY #00706 ACTON MA",4.19,"Merchandise"
06/18/2022,06/19/2022,"STOP & SHOP 0460 ACTON MA01822R",4.69,"Supermarkets"
06/22/2022,06/22/2022,"PAYPAL *SPOTIFYUSAI 402-935-7733 CA",4.99,"Services"
06/22/2022,06/22/2022,"PAYPAL *UDEMY 402-935-7733 CA",15.99,"Education"
06/26/2022,06/26/2022,"MOES # 100475 LITTLETON MA",14.21,"Restaurants"
06/28/2022,06/28/2022,"ONEIL CINEMAS LITTLETON MASAMSUNG PAY ENDING IN 9574",9.62,"Travel/ Entertainment"
07/05/2022,07/05/2022,"ONEIL CINEMAS LITTLETON MASAMSUNG PAY ENDING IN 9574",9.62,"Travel/ Entertainment"
07/06/2022,07/06/2022,"INTERNET PAYMENT - THANK YOU",-313.29,"Payments and Credits"
07/09/2022,07/09/2022,"RED GINGER STOW MA",11.16,"Restaurants"
07/10/2022,07/10/2022,"TST* SALONIKI - FENWAY BOSTON MA00056766007743380793AA",32.07,"Restaurants"
07/13/2022,07/13/2022,"PAYPAL *PARAMNTPLUS 402-935-7733 CA",4.99,"Merchandise"
07/14/2022,07/14/2022,"ROCHE BROTHERS112 ACTON MA",17.77,"Supermarkets"
07/15/2022,07/15/2022,"DAVES HOT CHICKEN 1108 NEWTON MASAMSUNG PAY ENDING IN 9574",14.96,"Restaurants"
07/19/2022,07/19/2022,"INTERNET PAYMENT - THANK YOU",-90.57,"Payments and Credits"
07/22/2022,07/22/2022,"BLUEBIKES 855-865-9553 CA",3.13,"Travel/ Entertainment"
07/22/2022,07/22/2022,"ITEA BOSTON MASAMSUNG PAY ENDING IN 9574",7.76,"Restaurants"
07/22/2022,07/22/2022,"PAYPAL *SPOTIFYUSAI 402-935-7733 CA",4.99,"Services"
07/22/2022,07/22/2022,"TST* FLOUR FARNSWORTH BOSTON MA",11.77,"Restaurants"
07/23/2022,07/23/2022,"1037 CAFFE NERO THE HUB BOSTON MASAMSUNG PAY ENDING IN 9574",4.44,"Restaurants"
07/23/2022,07/23/2022,"BLUEBIKES 855-865-9553 CA",10.63,"Travel/ Entertainment"
07/23/2022,07/23/2022,"MBTA NORTH STATN BOSTON MA",2.40,"Travel/ Entertainment"
07/23/2022,07/23/2022,"POSMAN BOOK40100018496 BOSTON MASAMSUNG PAY ENDING IN 9574",18.12,"Merchandise"
07/23/2022,07/23/2022,"SQ *CAFE BONJOUR BOSTON MA0002305843016007133391",100.56,"Restaurants"
07/23/2022,07/23/2022,"THE HUB- GRE CO BOSTON MA02362R",14.98,"Restaurants"
07/23/2022,07/23/2022,"TST* CAFE JONQUILS BOSTON MASAMSUNG PAY ENDING IN 957400044126007896230618AA",4.28,"Restaurants"
07/23/2022,07/23/2022,"TST* CAFE JONQUILS BOSTON MASAMSUNG PAY ENDING IN 957400044126007896904107AA",7.43,"Restaurants"
07/24/2022,07/24/2022,"ITEA BOSTON MASAMSUNG PAY ENDING IN 9574",7.22,"Restaurants"
07/24/2022,07/24/2022,"MBTA COPLEY BOSTON MA",2.40,"Travel/ Entertainment"
07/24/2022,07/24/2022,"MBTA HAYMARKET BOSTON MASAMSUNG PAY ENDING IN 9574",2.40,"Travel/ Entertainment"
07/24/2022,07/24/2022,"MBTA PARK STREET BOSTON MASAMSUNG PAY ENDING IN 9574",2.40,"Travel/ Entertainment"
07/24/2022,07/24/2022,"THE HUB- GRE CO BOSTON MASAMSUNG PAY ENDING IN 957402430R",14.98,"Restaurants"
07/24/2022,07/24/2022,"THE HUB-CUSSERT ROAST BOSTON MASAMSUNG PAY ENDING IN 957402467R",3.21,"Restaurants"
07/24/2022,07/24/2022,"TST* DUCALI PIZZERIA BOSTON MASAMSUNG PAY ENDING IN 957400058302007913527061AA",5.35,"Restaurants"
07/25/2022,07/25/2022,"SANTA FE BURRITO GRILL ACTON MA",16.05,"Restaurants"
07/26/2022,07/26/2022,"GOURMET CHINA HOUSE BOSTON MA",23.54,"Restaurants"
07/26/2022,07/26/2022,"ITEA BOSTON MA",24.08,"Restaurants"
07/26/2022,07/28/2022,"POSMAN BOOK40100018496 BOSTON MA",-18.06,"Payments and Credits"
07/28/2022,07/28/2022,"4591 ANYTIME FITNESS ACTON MA",20.00,"Travel/ Entertainment"
07/29/2022,07/29/2022,"MBTA HAYMARKET BOSTON MA",4.80,"Travel/ Entertainment"
07/29/2022,07/29/2022,"MHS PARCEL #7 PARK GARAG BOSTON MA",33.00,"Government Services"
07/29/2022,07/29/2022,"TSAOCAA TEA BOSTON MA",15.89,"Restaurants"
08/02/2022,08/02/2022,"MARKET BASK00000190433 LOWELL MASAMSUNG PAY ENDING IN 9574",11.06,"Supermarkets"
08/08/2022,08/08/2022,"SANTA FE BURRITO GRILL ACTON MA",21.40,"Restaurants"
08/09/2022,08/09/2022,"421 GAS INC ACTON MA",7.02,"Gasoline"
08/10/2022,08/10/2022,"SQ *COFFEE AND COTTON LOWELL MA0002305843016104854402",13.11,"Travel/ Entertainment"
08/11/2022,08/11/2022,"PAYPAL *QUIKFIXLAPT 402-935-7733 CA",12.78,"Services"
08/17/2022,08/19/2022,"MCDONALD'S F31731 ACTON MA",2.02,"Restaurants"
08/17/2022,08/19/2022,"MCDONALD'S F31731 ACTON MA",2.02,"Restaurants"
08/19/2022,08/19/2022,"CHEGG ORDER 855-440-1323 CA",16.95,"Merchandise"
08/20/2022,08/20/2022,"BJS FUEL #9209 HUDSON MA",67.19,"Gasoline"
08/20/2022,08/20/2022,"XING FU TANG NEW YORK NYSAMSUNG PAY ENDING IN 9574",26.13,"Restaurants"
08/21/2022,08/21/2022,"LIDL #1443 FREDERICKSBURNJSAMSUNG PAY ENDING IN 95741443041554632332212161",11.31,"Supermarkets"
08/21/2022,08/21/2022,"TST* BAKE CULTURE - LOCA NEW YORK NYSAMSUNG PAY ENDING IN 9574",3.26,"Travel/ Entertainment"
08/22/2022,08/22/2022,"PAYPAL *SPOTIFYUSAI 402-935-7733 CA",9.99,"Services"
08/28/2022,08/28/2022,"BJS WHOLESALE #0007 ALBANY NY",31.84,"Warehouse Clubs"
08/28/2022,08/28/2022,"INTERNET PAYMENT - THANK YOU",-551.99,"Payments and Credits"
08/29/2022,08/29/2022,"BJS WHOLESALE #0007 ALBANY NY",49.46,"Warehouse Clubs"
08/29/2022,08/29/2022,"RENSSELAER CAMPUS STR146 TROY NY",19.33,"Merchandise"
08/29/2022,08/29/2022,"SQ *KUMA ANI TROY NY0002305843016210014056",15.07,"Restaurants"
08/30/2022,08/30/2022,"STEWARTS SHOP 356 TROY NY",3.12,"Gasoline"
08/31/2022,08/31/2022,"BUDS ON THE HUDSON TROY NYSAMSUNG PAY ENDING IN 9574",4.66,"Restaurants"
09/03/2022,09/03/2022,"PAYPAL *FANDANGO 402-935-7733 CA",14.67,"Travel/ Entertainment"
09/05/2022,09/05/2022,"CHIPOTLE 1155 LATHAM NYSAMSUNG PAY ENDING IN 9574",10.04,"Restaurants"
09/05/2022,09/05/2022,"PAYPAL *PF CHANGS #9815 402-935-2244 CA",108.68,"Restaurants"
09/06/2022,09/06/2022,"BOBS DINER WATERVLIET NY",8.86,"Restaurants"
09/07/2022,09/07/2022,"BJS WHOLESALE #0007 ALBANY NY",46.28,"Warehouse Clubs"
09/07/2022,09/07/2022,"SQ *KUMA ANI TROY NYSAMSUNG PAY ENDING IN 95740002305843016256238225",13.99,"Restaurants"
09/07/2022,09/07/2022,"TARGET 00012682091 COLONIE NY",37.78,"Supermarkets"
09/11/2022,09/11/2022,"ALADDIN HALAL LLC ALBANY NYSAMSUNG PAY ENDING IN 9574",58.46,"Supermarkets"
09/13/2022,09/13/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 9574",11.87,"Restaurants"
09/15/2022,09/15/2022,"RPI RATHSKELLAR 2 TROY NYSAMSUNG PAY ENDING IN 9574",10.75,"Restaurants"
09/16/2022,09/16/2022,"LOTSTOP NEW YORK NYSAMSUNG PAY ENDING IN 9574",2.17,"Merchandise"
09/17/2022,09/17/2022,"DUNKIN #359528 NEW YORK NYSAMSUNG PAY ENDING IN 9574",2.82,"Restaurants"
09/17/2022,09/17/2022,"MOMA ADMISSION TICKETS NEW YORK NY",14.00,"Services"
09/17/2022,09/17/2022,"SQ *HAAGEN-DAZ ICE CRE NEW YORK NYSAMSUNG PAY ENDING IN 95740002305843016310404087",14.14,"Restaurants"
09/17/2022,09/19/2022,"KYOTO SPOT JAPANESE CUI. NEW YORK NYSAMSUNG PAY ENDING IN 9574",3.54,"Restaurants"
09/19/2022,09/19/2022,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-151.56,"Awards and Rebate Credits"
09/19/2022,09/19/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 9574",10.68,"Restaurants"
09/19/2022,09/19/2022,"INTERNET PAYMENT - THANK YOU",-326.43,"Payments and Credits"
09/19/2022,09/19/2022,"LEETCODE.COM 9167018853 CA",159.00,"Merchandise"
09/20/2022,09/20/2022,"RPI RATHSKELLAR 2 TROY NYSAMSUNG PAY ENDING IN 9574",10.75,"Restaurants"
09/22/2022,09/22/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 9574",11.87,"Restaurants"
09/23/2022,09/23/2022,"GREEN SHELL TROY NY",11.00,"Restaurants"
09/23/2022,09/23/2022,"TARGET 00012682091 COLONIE NY",38.74,"Supermarkets"
09/24/2022,09/24/2022,"BATH & BODY WORKS 3136 ALBANY NY",35.69,"Merchandise"
09/24/2022,09/24/2022,"BJS WHOLESALE #0007 ALBANY NY",67.14,"Warehouse Clubs"
09/24/2022,09/24/2022,"HANNAFORD #8450 TROY NY",9.00,"Supermarkets"
09/24/2022,09/24/2022,"HANNAFORD #8450 TROY NY",14.08,"Supermarkets"
09/24/2022,09/24/2022,"KARAVALLI REG.CUISINE OF LATHAM NY",73.23,"Restaurants"
09/26/2022,09/26/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 9574",2.26,"Restaurants"
09/27/2022,09/27/2022,"WASABI ALBANY NYSAMSUNG PAY ENDING IN 9574",35.27,"Restaurants"
09/28/2022,09/28/2022,"PANERA BREAD #203162 K TROY NYSAMSUNG PAY ENDING IN 957402885R",10.25,"Restaurants"
09/29/2022,09/29/2022,"INTERNET PAYMENT - THANK YOU",-482.25,"Payments and Credits"
09/30/2022,09/30/2022,"PANERA SUBD 203162 O 518-276-2030 NY1611659563126347",11.87,"Restaurants"
10/01/2022,10/01/2022,"DINERTIME LATHAM NY",60.68,"Restaurants"
10/01/2022,10/01/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 9574",2.37,"Restaurants"
10/01/2022,10/01/2022,"PAYPAL *UNIQLO USA 402-935-7733 CA",91.20,"Merchandise"
10/01/2022,10/01/2022,"STARBUCKS STORE 07390 LATHAM NYSAMSUNG PAY ENDING IN 9574099CE6AA9017666483",6.21,"Restaurants"
10/02/2022,10/02/2022,"BJS WHOLESALE #0007 ALBANY NY",60.60,"Warehouse Clubs"
10/02/2022,10/02/2022,"BJS WHOLESALE #0007 ALBANY NY",104.83,"Warehouse Clubs"
10/02/2022,10/02/2022,"TARGET 00012682091 COLONIE NYSAMSUNG PAY ENDING IN 9574",32.83,"Supermarkets"
10/03/2022,10/03/2022,"PANERA BREAD #203162 K TROY NYSAMSUNG PAY ENDING IN 957400341R",2.37,"Restaurants"
10/04/2022,10/04/2022,"PANERA BREAD #203162 K TROY NYSAMSUNG PAY ENDING IN 957400493R",6.36,"Restaurants"
10/05/2022,10/05/2022,"SQ *AMANTE PIZZA INC TROY NYSAMSUNG PAY ENDING IN 95740002305843016399792070",8.00,"Restaurants"
10/07/2022,10/07/2022,"CHIPOTLE 1155 LATHAM NYSAMSUNG PAY ENDING IN 9574",10.58,"Restaurants"
10/08/2022,10/08/2022,"BJS WHOLESALE #0007 ALBANY NYSAMSUNG PAY ENDING IN 9574",76.51,"Warehouse Clubs"
10/08/2022,10/08/2022,"FARMERS INDIA MARKET ALB ALBANY NY",31.41,"Supermarkets"
10/08/2022,10/08/2022,"STEWARTS SHOP 356 TROY NY",9.01,"Gasoline"
10/08/2022,10/08/2022,"WHOLEFDS ABN #10492 ALBANY NYSAMSUNG PAY ENDING IN 9574",14.09,"Supermarkets"
10/10/2022,10/10/2022,"KFC G135798 TROY NYSAMSUNG PAY ENDING IN 9574",13.26,"Restaurants"
10/11/2022,10/11/2022,"BJS WHOLESALE #0007 ALBANY NYSAMSUNG PAY ENDING IN 9574",121.05,"Warehouse Clubs"
10/11/2022,10/11/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 9574",5.59,"Restaurants"
10/11/2022,10/11/2022,"RPI ARGO TEA TROY NYSAMSUNG PAY ENDING IN 9574",10.69,"Restaurants"
10/12/2022,10/12/2022,"FARMERS INDIA MARKET ALB ALBANY NY",7.56,"Supermarkets"
10/12/2022,10/12/2022,"FARMERS INDIA MARKET ALB ALBANY NY",9.93,"Supermarkets"
10/12/2022,10/12/2022,"PAYPAL *HBO MAX 888-221-1161 CA",14.99,"Services"
10/13/2022,10/13/2022,"PAYPAL *SYMBOLAB 888-221-1161 CA",8.99,"Education"
10/16/2022,10/16/2022,"CHIPOTLE 1155 LATHAM NYSAMSUNG PAY ENDING IN 6201",10.58,"Restaurants"
10/16/2022,10/16/2022,"PAYPAL *NFLGAMEPASS 402-935-7733 CA",5.39,"Services"
10/18/2022,10/19/2022,"DCC CAFE TROY NYSAMSUNG PAY ENDING IN 6201",4.85,"Restaurants"
10/18/2022,10/19/2022,"SQ *RICHARD WILSONLL RENSSELAER NYSAMSUNG PAY ENDING IN 62010002305843016473173860",5.75,"Restaurants"
10/18/2022,10/19/2022,"SQ *RICHARD WILSONLL TROY NYSAMSUNG PAY ENDING IN 62010001152921512051737532",1.00,"Restaurants"
10/19/2022,10/19/2022,"LAKE CHAMPLAIN CHOCOLATE BURLINGTON VTSAMSUNG PAY ENDING IN 6201",4.56,"Merchandise"
10/19/2022,10/19/2022,"LAKE CHAMPLAIN CHOCOLATE BURLINGTON VTSAMSUNG PAY ENDING IN 6201",5.83,"Merchandise"
10/19/2022,10/19/2022,"NAYAX VENDING 14 HUNT VALLEY MDSAMSUNG PAY ENDING IN 6201",2.00,"Restaurants"
10/20/2022,10/20/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 6201",13.37,"Restaurants"
10/21/2022,10/21/2022,"CUMBERLAND FARMS 6723 FRAMINGHAM MASAMSUNG PAY ENDING IN 620102133R",2.24,"Gasoline"
10/21/2022,10/21/2022,"LOVE'S #611 CANAAN NYSAMSUNG PAY ENDING IN 6201202200000000000005",7.55,"Gasoline"
10/22/2022,10/22/2022,"PAYPAL *SPOTIFYUSAI 402-935-7733 CA",9.99,"Services"
10/25/2022,10/25/2022,"BJS FUEL #9209 HUDSON MA",45.05,"Gasoline"
10/25/2022,10/25/2022,"STARBUCKS 47423 2502208 LUDLOW MASAMSUNG PAY ENDING IN 6201",4.96,"Restaurants"
10/26/2022,10/26/2022,"BJS WHOLESALE #0007 ALBANY NYSAMSUNG PAY ENDING IN 6201",47.83,"Warehouse Clubs"
10/26/2022,10/26/2022,"CHIPOTLE 1391 ALBANY NYSAMSUNG PAY ENDING IN 6201",13.23,"Restaurants"
10/28/2022,10/28/2022,"SQ *AMANTE PIZZA INC TROY NYSAMSUNG PAY ENDING IN 62010002305843016531215849",28.60,"Restaurants"
10/30/2022,10/30/2022,"PANERA SUBD 203162 O 518-276-2030 NY1611659564403147",11.87,"Restaurants"
10/30/2022,10/30/2022,"STEWARTS SHOP 356 TROY NY",5.49,"Gasoline"
10/30/2022,10/30/2022,"WALMART SC 02370 TROY NY",0.88,"Merchandise"
10/31/2022,10/31/2022,"INTERNET PAYMENT - THANK YOU",-927.28,"Payments and Credits"
11/04/2022,11/04/2022,"CHIPOTLE 1391 ALBANY NYSAMSUNG PAY ENDING IN 6201",10.37,"Restaurants"
11/04/2022,11/04/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 6201",5.09,"Restaurants"
11/04/2022,11/04/2022,"FIV*GONG CHA ALBANY ALBANY NYSAMSUNG PAY ENDING IN 6201",7.83,"Restaurants"
11/05/2022,11/05/2022,"WALMART SC 02116 QUEENSBURY NY",6.93,"Merchandise"
11/06/2022,11/06/2022,"FARMERS INDIA MARKET ALB ALBANY NY",19.47,"Supermarkets"
11/06/2022,11/06/2022,"TST* SPOT COFFEE - GLENS GLENS FALLS NYSAMSUNG PAY ENDING IN 6201",2.68,"Restaurants"
11/07/2022,11/07/2022,"FATHERS MARKET TROY NYSAMSUNG PAY ENDING IN 6201",2.15,"Restaurants"
11/07/2022,11/07/2022,"RPI RATHSKELLAR 2 TROY NYSAMSUNG PAY ENDING IN 6201",1.61,"Restaurants"
11/08/2022,11/08/2022,"HANNAFORD #8450 TROY NY",12.95,"Supermarkets"
11/08/2022,11/08/2022,"WALMART SC 02370 TROY NY",24.56,"Merchandise"
11/09/2022,11/11/2022,"PAYPAL *UNIQLO USA 402-935-7733 CA",-34.50,"Payments and Credits"
11/12/2022,11/12/2022,"FIV*GONG CHA ALBANY ALBANY NYSAMSUNG PAY ENDING IN 6201",8.37,"Restaurants"
11/12/2022,11/12/2022,"PAYPAL *HBO MAX 402-935-7733 CA",14.99,"Services"
11/13/2022,11/13/2022,"CHIPOTLE 1391 ALBANY NYSAMSUNG PAY ENDING IN 6201",9.83,"Restaurants"
11/13/2022,11/13/2022,"FATHERS MARKET TROY NY",10.36,"Restaurants"
11/15/2022,11/15/2022,"SHOPRITE ALBANY S1 ALBANY NY01566R",8.23,"Supermarkets"
11/16/2022,11/16/2022,"FIV*GONG CHA ALBANY ALBANY NYSAMSUNG PAY ENDING IN 6201",7.56,"Restaurants"
11/16/2022,11/16/2022,"PAYPAL *NFLGAMEPASS 888-221-1161 CA",5.39,"Services"
11/17/2022,11/17/2022,"SQ *BEN & JERRY'S SARA SARATOGA SPRINY0002305843016617763504",7.70,"Restaurants"
11/17/2022,11/19/2022,"BJS WHOLESALE #0007 ALBANY NYSAMSUNG PAY ENDING IN 6201",10.03,"Warehouse Clubs"
11/18/2022,11/19/2022,"CHIPOTLE 1155 LATHAM NYSAMSUNG PAY ENDING IN 6201",10.04,"Restaurants"
11/18/2022,11/19/2022,"FATHERS MARKET TROY NY",2.19,"Restaurants"
11/18/2022,11/19/2022,"SQ *KUMA ANI TROY NYSAMSUNG PAY ENDING IN 62010002305843016619305518",15.07,"Restaurants"
11/18/2022,11/19/2022,"STEWARTS SHOP 356 TROY NY",5.97,"Gasoline"
11/19/2022,11/19/2022,"MCDONALD'S F22335 RENSSELAER NYSAMSUNG PAY ENDING IN 6201",4.86,"Restaurants"
11/22/2022,11/22/2022,"MARKET BASK00000778433 LITTLETON MA",5.23,"Supermarkets"
11/22/2022,11/22/2022,"PAYPAL *SPOTIFYUSAI 402-935-7733 CA",9.99,"Services"
11/25/2022,11/25/2022,"MCDONALD'S F24498 NATICK MA",2.56,"Restaurants"
11/25/2022,11/25/2022,"SQ *RUBY THAI KITCHEN NATICK MASAMSUNG PAY ENDING IN 62010002305843016652963764",11.01,"Restaurants"
11/26/2022,11/26/2022,"ITEA BOSTON MA",14.18,"Restaurants"
